date,open,high,low,close,volume,oi,source
2026-03-30T12:17:00+05:30,28.21,28.21,28.21,28.21,0,0,real
2026-03-30T12:18:00+05:30,28.24,28.24,28.24,28.24,0,0,real
2026-03-30T12:19:00+05:30,28.24,28.24,28.24,28.24,0,0,real
2026-03-30T12:20:00+05:30,28.21,28.21,28.21,28.21,0,0,real
2026-03-30T12:21:00+05:30,28.12,28.12,28.12,28.12,0,0,real
2026-03-30T12:22:00+05:30,28.14,28.14,28.14,28.14,0,0,real
2026-03-30T12:23:00+05:30,28.14,28.14,28.14,28.14,0,0,real
2026-03-30T12:24:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:25:00+05:30,28.12,28.12,28.12,28.12,0,0,real
2026-03-30T12:26:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:27:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:28:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:29:00+05:30,28.12,28.12,28.12,28.12,0,0,real
2026-03-30T12:30:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:31:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T12:32:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:33:00+05:30,28.18,28.18,28.18,28.18,0,0,real
2026-03-30T12:34:00+05:30,28.18,28.18,28.18,28.18,0,0,real
2026-03-30T12:35:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:36:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T12:37:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:38:00+05:30,28.14,28.14,28.14,28.14,0,0,real
2026-03-30T12:39:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T12:40:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T12:41:00+05:30,28.02,28.02,28.02,28.02,0,0,real
2026-03-30T12:42:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T12:43:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T12:44:00+05:30,28.01,28.01,28.01,28.01,0,0,real
2026-03-30T12:45:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T12:46:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T12:47:00+05:30,28.02,28.02,28.02,28.02,0,0,real
2026-03-30T12:48:00+05:30,28.04,28.04,28.04,28.04,0,0,real
2026-03-30T12:49:00+05:30,28.05,28.05,28.05,28.05,0,0,real
2026-03-30T12:50:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T12:51:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T12:52:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:53:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T12:54:00+05:30,28.17,28.17,28.17,28.17,0,0,real
2026-03-30T12:55:00+05:30,28.17,28.17,28.17,28.17,0,0,real
2026-03-30T12:56:00+05:30,28.17,28.17,28.17,28.17,0,0,real
2026-03-30T12:57:00+05:30,28.16,28.16,28.16,28.16,0,0,real
2026-03-30T12:58:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T12:59:00+05:30,28.1,28.1,28.1,28.1,0,0,real
2026-03-30T13:00:00+05:30,28.08,28.08,28.08,28.08,0,0,real
2026-03-30T13:01:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:02:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:03:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:04:00+05:30,28.06,28.06,28.06,28.06,0,0,real
2026-03-30T13:05:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:06:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:07:00+05:30,28.05,28.05,28.05,28.05,0,0,real
2026-03-30T13:08:00+05:30,28.08,28.08,28.08,28.08,0,0,real
2026-03-30T13:09:00+05:30,28.06,28.06,28.06,28.06,0,0,real
2026-03-30T13:10:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:11:00+05:30,28.06,28.06,28.06,28.06,0,0,real
2026-03-30T13:12:00+05:30,28.02,28.02,28.02,28.02,0,0,real
2026-03-30T13:13:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T13:14:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:15:00+05:30,28.08,28.08,28.08,28.08,0,0,real
2026-03-30T13:16:00+05:30,28.04,28.04,28.04,28.04,0,0,real
2026-03-30T13:17:00+05:30,28.11,28.11,28.11,28.11,0,0,real
2026-03-30T13:18:00+05:30,28.12,28.12,28.12,28.12,0,0,real
2026-03-30T13:19:00+05:30,28.12,28.12,28.12,28.12,0,0,real
2026-03-30T13:20:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T13:21:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:22:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:23:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:24:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T13:25:00+05:30,28.08,28.08,28.08,28.08,0,0,real
2026-03-30T13:26:00+05:30,28.06,28.06,28.06,28.06,0,0,real
2026-03-30T13:27:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T13:28:00+05:30,28.05,28.05,28.05,28.05,0,0,real
2026-03-30T13:29:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T13:30:00+05:30,28.01,28.01,28.01,28.01,0,0,real
2026-03-30T13:31:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T13:32:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T13:33:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T13:34:00+05:30,27.98,27.98,27.98,27.98,0,0,real
2026-03-30T13:35:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T13:36:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T13:37:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T13:38:00+05:30,28.02,28.02,28.02,28.02,0,0,real
2026-03-30T13:39:00+05:30,27.98,27.98,27.98,27.98,0,0,real
2026-03-30T13:40:00+05:30,27.94,27.94,27.94,27.94,0,0,real
2026-03-30T13:41:00+05:30,27.98,27.98,27.98,27.98,0,0,real
2026-03-30T13:42:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T13:43:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T13:44:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T13:45:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T13:46:00+05:30,28.01,28.01,28.01,28.01,0,0,real
2026-03-30T13:47:00+05:30,28.01,28.01,28.01,28.01,0,0,real
2026-03-30T13:48:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T13:49:00+05:30,27.98,27.98,27.98,27.98,0,0,real
2026-03-30T13:50:00+05:30,28.03,28.03,28.03,28.03,0,0,real
2026-03-30T13:51:00+05:30,28.07,28.07,28.07,28.07,0,0,real
2026-03-30T13:52:00+05:30,28.08,28.08,28.08,28.08,0,0,real
2026-03-30T13:53:00+05:30,28.1,28.1,28.1,28.1,0,0,real
2026-03-30T13:54:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T13:55:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T13:56:00+05:30,28.15,28.15,28.15,28.15,0,0,real
2026-03-30T13:57:00+05:30,28.11,28.11,28.11,28.11,0,0,real
2026-03-30T13:58:00+05:30,28.1,28.1,28.1,28.1,0,0,real
2026-03-30T13:59:00+05:30,28.13,28.13,28.13,28.13,0,0,real
2026-03-30T14:00:00+05:30,28.09,28.09,28.09,28.09,0,0,real
2026-03-30T14:01:00+05:30,28.05,28.05,28.05,28.05,0,0,real
2026-03-30T14:02:00+05:30,27.96,27.96,27.96,27.96,0,0,real
2026-03-30T14:03:00+05:30,27.89,27.89,27.89,27.89,0,0,real
2026-03-30T14:04:00+05:30,27.86,27.86,27.86,27.86,0,0,real
2026-03-30T14:05:00+05:30,27.88,27.88,27.88,27.88,0,0,real
2026-03-30T14:06:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T14:07:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T14:08:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T14:09:00+05:30,27.87,27.87,27.87,27.87,0,0,real
2026-03-30T14:10:00+05:30,27.92,27.92,27.92,27.92,0,0,real
